country_next,Frequency
China,72435
Japan,47234
Korea (the Republic of),28864
Taiwan (Province of China),25629
Viet Nam,22875
Hong Kong,21019
Thailand,17563
Turkey,16649
Malaysia,14897
Germany,13692
Singapore,11089
Spain,10492
Indonesia,10040
Italy,9661
United States of America,8887
India,8511
Philippines,8388
United Arab Emirates,6837
Egypt,6136
Netherlands,5806
Greece,4159
Russia,4113
Sri Lanka,3878
Panama,3824
Israel,3747
Algeria,3467
Morocco,3384
Jamaica,3317
Bangladesh,3317
Colombia,3270
Finland,2955
France,2729
United Kingdom of Great Britain and Northern Ireland,2698
Sweden,2622
Dominican Republic,2580
Australia,2529
Poland,2441
Portugal,2404
New Zealand,2191
Trinidad and Tobago,2180
Guatemala,2089
Saudi Arabia,2027
Qatar,2003
Cambodia,1897
Libya,1749
Malta,1686
Brazil,1629
Mexico,1557
Peru,1547
Lithuania,1537
Ecuador,1517
Denmark,1489
Myanmar,1407
Honduras,1405
Costa Rica,1382
Belgium,1324
Papua New Guinea,1233
Canada,1178
Slovenia,1170
Norway,1158
South Africa,1004
Kuwait,993
Cameroon,913
Latvia,906
Ireland,906
Lebanon,870
Bulgaria,858
Chile,838
Iceland,832
Iran (Islamic Republic of),796
Barbados,778
Oman,775
Georgia,768
Pakistan,751
Cyprus,746
Mauritania,742
Sint Maarten (Dutch part),694
Virgin Islands (U.S.),693
Togo,685
Fiji,674
Venezuela (Bolivarian Republic of),673
Estonia,672
Guyana,667
Romania,653
Puerto Rico,594
Croatia,588
Mozambique,584
Argentina,572
Nigeria,554
Yemen,540
Somalia,540
Djibouti,495
Bahrain,487
Kenya,465
Côte d'Ivoire,454
Congo,446
Tunisia,437
Suriname,423
Iraq,411
Cuba,411
Brunei Darussalam,397
Faroe Islands,354
Bahamas,343
Senegal,333
Haiti,331
Aruba,330
Curaçao,329
Syrian Arab Republic,310
Ghana,307
Mauritius,306
Gabon,302
Madagascar,291
Solomon Islands,290
Saint Lucia,286
Grenada,283
Montenegro,278
Angola,272
Gambia,241
Ukraine,237
Equatorial Guinea,236
El Salvador,234
Liberia,224
Tanzania  United Republic of,213
Réunion,196
Vanuatu,189
Cabo Verde,183
Greenland,180
Uruguay,170
Benin,169
Jordan,169
Samoa,164
Sudan,161
American Samoa,159
Mayotte,158
Micronesia (Federated States of),158
Nicaragua,156
Albania,154
Antigua and Barbuda,154
Guam,150
Sierra Leone,145
Marshall Islands,143
French Guiana,118
Congo (the Democratic Republic of the),111
French Polynesia,111
New Caledonia,107
Guinea-Bissau,103
Northern Mariana Islands,103
Saint Vincent and the Grenadines,99
Guinea,99
Tonga,97
Dominica,93
Seychelles,87
Eritrea,82
Maldives,70
Saint Kitts and Nevis,61
Kiribati,57
Belize,44
Comoros,42
Guadeloupe,40
Martinique,25
Gibraltar,17
Timor-Leste,14
Saint Helena  Ascension and Tristan da Cunha,2
Bonaire  Sint Eustatius and Saba,1
