country_next,Frequency
China,21407
United States of America,9587
Egypt,5753
Singapore,5566
Korea (the Republic of),4922
Hong Kong,4225
Panama,3960
Saudi Arabia,3099
Netherlands,2574
Mexico,2491
Taiwan (Province of China),2286
United Arab Emirates,1878
Spain,1796
Italy,1758
Brazil,1738
Malaysia,1683
Viet Nam,1562
India,1368
Chile,1348
Germany,1299
United Kingdom of Great Britain and Northern Ireland,1218
Sri Lanka,1190
Colombia,1134
France,1074
Peru,1039
Japan,1037
Oman,951
Morocco,945
Greece,942
Canada,810
Turkey,798
Thailand,780
Belgium,592
Malta,465
Qatar,419
Dominican Republic,389
Portugal,386
Ecuador,382
Israel,343
Jamaica,286
Uruguay,252
Argentina,246
South Africa,203
Pakistan,197
Slovenia,185
Djibouti,184
Croatia,179
Lebanon,169
Togo,160
Guatemala,148
Jordan,146
Iraq,113
Ghana,105
Côte d'Ivoire,98
Iran (Islamic Republic of),79
Bahamas,53
Poland,48
Mauritius,47
Congo,38
Lithuania,30
Denmark,16
Bahrain,16
Nigeria,15
Indonesia,15
Sweden,11
Russia,7
New Zealand,7
Romania,2
Réunion,1
Philippines,1
