country_next,Frequency
China,38902
United States of America,13363
Singapore,10664
Malaysia,9171
India,9130
Hong Kong,7282
Spain,6432
Brazil,6173
Turkey,6027
Japan,5771
Panama,5661
Netherlands,5040
Korea (the Republic of),4358
Australia,4209
Canada,4174
United Arab Emirates,3672
New Zealand,3585
Indonesia,3476
Egypt,3345
Morocco,3276
Italy,2964
Colombia,2768
Germany,2739
France,2724
Taiwan (Province of China),2604
United Kingdom of Great Britain and Northern Ireland,2587
Sri Lanka,2254
Greece,2034
Chile,2019
Oman,1824
Nigeria,1791
Saudi Arabia,1739
Mexico,1729
South Africa,1627
Philippines,1529
Belgium,1471
Thailand,1453
Israel,1433
Ecuador,1419
Pakistan,1381
Viet Nam,1252
Togo,1171
Peru,1077
Benin,1012
Portugal,908
Kenya,873
Côte d'Ivoire,866
Malta,852
Ghana,806
Dominican Republic,754
Senegal,742
Cameroon,684
Costa Rica,654
Congo,638
Russia,606
Mozambique,595
Puerto Rico,560
Jamaica,544
Angola,474
Qatar,454
Guadeloupe,445
Bahamas,418
Martinique,396
Iraq,342
Djibouti,321
Tanzania  United Republic of,316
Equatorial Guinea,297
Mauritius,271
Argentina,234
Bahrain,225
Réunion,222
Kuwait,203
Guatemala,202
Ukraine,197
Romania,195
Ireland,183
Iran (Islamic Republic of),181
Gabon,162
Poland,160
Lebanon,159
Lithuania,153
Uruguay,149
Sierra Leone,115
Cyprus,114
Guinea,106
Guam,102
Trinidad and Tobago,79
Latvia,71
French Polynesia,70
Sweden,64
Slovenia,49
Honduras,40
Libya,39
Estonia,37
Denmark,30
Sudan,27
Jordan,25
Croatia,24
Somalia,19
Yemen,19
Madagascar,13
Liberia,11
Algeria,10
Finland,8
Mayotte,8
Mauritania,7
Venezuela (Bolivarian Republic of),5
El Salvador,4
Haiti,4
Sint Maarten (Dutch part),4
Nicaragua,2
Fiji,2
Gibraltar,1
Syrian Arab Republic,1
Curaçao,1
Myanmar,1
Gambia,1
