country_next,Frequency
China,32366
United States of America,22668
Brazil,13007
Singapore,9121
India,8036
Egypt,7871
Hong Kong,7577
Korea (the Republic of),6836
Spain,6690
Malaysia,6344
Netherlands,5809
Australia,5444
Panama,5182
Mexico,4861
Italy,4745
Japan,4558
Saudi Arabia,3966
Germany,3656
United Arab Emirates,3635
Turkey,3631
Taiwan (Province of China),3530
United Kingdom of Great Britain and Northern Ireland,3100
France,2912
Sri Lanka,2676
Colombia,2191
Pakistan,2164
South Africa,1795
Canada,1716
Morocco,1653
Chile,1622
Oman,1438
Bahamas,1372
Peru,1288
Malta,1228
Belgium,1206
Portugal,1203
Uruguay,1132
Viet Nam,1102
Argentina,1041
New Zealand,999
Greece,974
Qatar,836
Thailand,832
Dominican Republic,805
Indonesia,732
Ecuador,725
Jamaica,591
Togo,555
Mauritius,540
Israel,523
Côte d'Ivoire,493
Nigeria,431
Djibouti,388
Lebanon,346
Jordan,330
Iraq,306
Guatemala,285
Ghana,238
Congo,236
Senegal,229
Réunion,207
Angola,190
Costa Rica,190
Guadeloupe,168
Slovenia,160
Philippines,155
Benin,145
Martinique,143
Poland,141
Cameroon,138
Iran (Islamic Republic of),136
Lithuania,131
Croatia,123
Ukraine,117
Romania,94
Cyprus,74
Russia,60
Bahrain,55
Kenya,33
Sweden,27
Denmark,12
French Polynesia,7
Mozambique,5
Honduras,5
Libya,3
Yemen,2
Somalia,1
Norway,1
Algeria,1
Kuwait,1
Tanzania  United Republic of,1
