country_next,Frequency
Japan,52792
China,29679
Indonesia,21698
Spain,20353
Korea (the Republic of),19037
Netherlands,16241
United Kingdom of Great Britain and Northern Ireland,13939
Germany,12799
Viet Nam,9092
Taiwan (Province of China),9053
Turkey,8618
Norway,7433
Portugal,7329
Russia,5968
Philippines,5488
United Arab Emirates,5280
United States of America,4958
Italy,4835
Malaysia,4595
Ireland,4460
Thailand,3876
Morocco,3258
Singapore,3236
Sweden,3183
Hong Kong,3054
Poland,2478
India,2380
Greece,2191
Egypt,2003
France,1991
Denmark,1791
Belgium,1756
Israel,1734
Iceland,1681
Papua New Guinea,1512
Algeria,1424
Libya,1381
Iran (Islamic Republic of),1328
Honduras,1138
Cyprus,1121
Finland,1090
Guatemala,999
Bahamas,974
Lithuania,918
Malta,908
Greenland,874
Dominican Republic,829
Colombia,821
Tunisia,712
Bangladesh,660
Panama,638
Mexico,627
Sri Lanka,611
Jamaica,608
Chile,595
Argentina,590
Faroe Islands,576
Romania,559
Canada,455
Haiti,435
Cabo Verde,424
Turks and Caicos Islands,408
Venezuela (Bolivarian Republic of),400
Latvia,391
Ukraine,384
Myanmar,370
Cuba,351
Croatia,309
Brunei Darussalam,292
Estonia,275
Angola,270
Fiji,266
Cambodia,262
Trinidad and Tobago,258
Iraq,249
Togo,240
Belize,234
Virgin Islands (U.S.),230
Slovenia,228
Sint Maarten (Dutch part),227
Lebanon,223
Cayman Islands,214
Curaçao,199
Albania,195
Bermuda,191
Aruba,186
Uruguay,182
Puerto Rico,175
Mauritania,157
Barbados,156
Saudi Arabia,142
Australia,138
Nigeria,137
Bulgaria,130
Costa Rica,129
Cameroon,126
Saint Vincent and the Grenadines,120
Montenegro,112
Wallis and Futuna,111
Georgia,108
Grenada,104
Gibraltar,103
Dominica,100
Palau,96
Guyana,95
Guam,95
Northern Mariana Islands,94
New Zealand,93
Senegal,92
Micronesia (Federated States of),91
Saint Kitts and Nevis,82
Côte d'Ivoire,80
Samoa,77
Yemen,73
Saint Lucia,70
Benin,70
Vanuatu,68
American Samoa,68
Congo,66
Pakistan,65
Ecuador,62
Suriname,60
Martinique,57
Gambia,56
Sudan,51
Congo (the Democratic Republic of the),50
Qatar,45
Timor-Leste,44
Peru,43
Tonga,40
Oman,37
Paraguay,35
Syrian Arab Republic,31
Kenya,30
Tanzania  United Republic of,29
Nauru,29
Djibouti,25
Kuwait,24
Bahrain,22
Kiribati,22
Antigua and Barbuda,21
French Polynesia,20
Solomon Islands,19
Guadeloupe,17
Gabon,17
Liberia,17
Guinea-Bissau,15
Saint Helena  Ascension and Tristan da Cunha,14
Réunion,13
French Guiana,13
Madagascar,12
Mauritius,12
New Caledonia,11
Moldova (the Republic of),10
Jordan,9
Equatorial Guinea,9
Virgin Islands (British),7
Ghana,6
Bonaire  Sint Eustatius and Saba,5
Maldives,5
South Africa,4
Mayotte,3
Marshall Islands,2
Mozambique,2
Guinea,1
Brazil,1
