country_next,Frequency
China,10525
Egypt,3839
Singapore,2680
Netherlands,2426
Germany,2131
Malaysia,1536
United Arab Emirates,1122
Korea (the Republic of),1053
Spain,993
United Kingdom of Great Britain and Northern Ireland,993
Morocco,821
France,735
Saudi Arabia,727
Greece,618
Belgium,485
Taiwan (Province of China),474
Poland,367
Turkey,321
Italy,314
Sri Lanka,296
Hong Kong,246
Sweden,178
Denmark,178
United States of America,141
Oman,127
Portugal,117
Malta,113
Thailand,102
Mexico,42
Chile,20
Japan,18
Peru,16
Canada,14
Colombia,13
Israel,12
Viet Nam,10
Panama,7
India,5
Lebanon,4
Ecuador,3
Venezuela (Bolivarian Republic of),3
Indonesia,2
Djibouti,2
Lithuania,2
Qatar,1
Ghana,1
Côte d'Ivoire,1
Togo,1
