country_next,Frequency
China,236597
Japan,120376
Korea (the Republic of),71646
United States of America,69102
Hong Kong,52366
Malaysia,52050
Singapore,51554
Taiwan (Province of China),51495
Spain,51138
Turkey,44528
Indonesia,43135
Viet Nam,42701
Netherlands,40630
Germany,38271
India,36268
Egypt,32710
Italy,28598
United Arab Emirates,28379
Brazil,27346
Thailand,27147
United Kingdom of Great Britain and Northern Ireland,25887
Panama,23037
Philippines,20025
Morocco,16258
Mexico,14887
Australia,14238
Saudi Arabia,13873
France,13396
Portugal,12534
Greece,12410
Sri Lanka,12379
Colombia,12345
Russia,12221
Canada,10103
Norway,8595
Israel,8562
New Zealand,8492
Belgium,7523
Oman,6849
Chile,6783
Guatemala,6461
Dominican Republic,6385
Sweden,6323
Jamaica,6192
Poland,6118
Peru,5904
Malta,5776
Ireland,5753
South Africa,5641
Pakistan,5470
Bangladesh,5103
Algeria,5098
Ecuador,4943
Costa Rica,4832
Qatar,4744
Finland,4432
Honduras,4101
Bahamas,3743
Denmark,3616
Argentina,3499
Papua New Guinea,3487
Nigeria,3329
Libya,3252
Togo,3232
Lithuania,3121
Iran (Islamic Republic of),2862
Trinidad and Tobago,2828
Côte d'Ivoire,2770
Lebanon,2745
Iceland,2513
Cyprus,2437
Kuwait,2347
Cambodia,2286
Slovenia,2219
Cameroon,2084
Romania,2048
Uruguay,1999
Kenya,1978
Myanmar,1895
Iraq,1895
Puerto Rico,1855
Senegal,1736
Ghana,1722
Djibouti,1683
Latvia,1632
Benin,1571
Mauritius,1550
Congo,1547
Angola,1533
Mozambique,1448
Venezuela (Bolivarian Republic of),1386
Tanzania  United Republic of,1381
Croatia,1380
Bahrain,1269
Fiji,1263
Ukraine,1242
Bulgaria,1164
Tunisia,1155
Estonia,1115
Réunion,1069
Greenland,1054
Sint Maarten (Dutch part),1012
Somalia,1001
Jordan,994
Georgia,969
Mauritania,953
Barbados,934
Faroe Islands,930
Virgin Islands (U.S.),923
Cuba,903
Yemen,851
Haiti,818
Guyana,762
El Salvador,744
Guadeloupe,700
Brunei Darussalam,699
Nicaragua,675
Martinique,642
Guinea,619
Cabo Verde,607
Madagascar,604
Equatorial Guinea,569
Gabon,567
Curaçao,562
Aruba,548
Sierra Leone,542
Syrian Arab Republic,521
Suriname,486
Belize,449
Guam,443
Montenegro,435
Liberia,423
Turks and Caicos Islands,408
Albania,401
Solomon Islands,396
Grenada,387
Saint Lucia,356
French Polynesia,338
Gambia,322
Sudan,319
Vanuatu,289
Seychelles,280
Samoa,264
Micronesia (Federated States of),249
American Samoa,248
Mayotte,242
French Guiana,235
Saint Vincent and the Grenadines,219
Cayman Islands,214
New Caledonia,207
Northern Mariana Islands,197
Dominica,193
Bermuda,191
Antigua and Barbuda,175
Marshall Islands,163
Congo (the Democratic Republic of the),161
Tonga,160
Saint Kitts and Nevis,143
Gibraltar,122
Guinea-Bissau,119
Wallis and Futuna,111
Maldives,101
Palau,96
Eritrea,85
Kiribati,80
Comoros,66
Timor-Leste,58
Paraguay,35
Nauru,29
Saint Helena  Ascension and Tristan da Cunha,16
Moldova (the Republic of),10
Virgin Islands (British),7
Bonaire  Sint Eustatius and Saba,6
